Name, Latitude, Longitude, Image
Don't Do Eat, 49.91999,2.262207, http://lh6.ggpht.com/Pc6y2vhL9RKdHDgesiEvk0HdIHWa97_rNegX3kZRIyIcAF3KOQw8AFhnaApij8SJuvec0VlBPzOroFPCpPw
Coserat Moderne, 49.908093,2.276964, http://lh3.ggpht.com/RRUssGQJ_DUcll6f7aK0MHMToFsoa9UDb9xbNRObVYBKUiEtX2GRuYc7abdL4an9n9CjARLq3vrEQr-zBfi8
Giant Dachshund Mural, 49.904559,2.273697, http://lh5.ggpht.com/qw5tB1tvaUTSt-ysgEJb5eqBbnkXKa-xosjGKp4lZ5xWSOm-bXvtqFdqgBu2U--m5leFDXXiPyTEW8zWPwk
Monument Guerre 1914 1918 , 49.917414,2.230106, http://lh3.googleusercontent.com/ApVCq6G2Q9Zjo6XbeXwlL31x61l2JTFaGZEZLEG_8_kMf-NAoddOftME1TVfkI7I9jUuuZgiIvm0rLfjVCSS
Eglise De Dreuil, 49.915968,2.22955, http://lh3.ggpht.com/u6S8xzb_OXRNxmd1FvDcaob6f6n4yWxDqg9grlT0DsefUBj8uulF882oWHmRnZVrFtOHRnJWeau6l0C6eUg83Q
Statue De La Maternité, 49.910367,2.257793, http://lh4.ggpht.com/UwwYvjtc_AGkDyhlAupcXn_oi6IU9bdsQoaNy3aUlJ5wUxzM4wuSZHa_bshA6uaqlLzsechWtzgLDnDQS2w
Memorial, 49.909728,2.259415, http://lh5.ggpht.com/3hssFVPPG31tMgW6wpFOYt3p7l8V-hMgL_gouGxakSyFk5VVvGZlChQq51RIJkbZAtbyoQu5Sy7LhYeaL0Ld
Monument Cozette, 49.913148,2.28347, http://lh4.ggpht.com/uu4no8IlxguUeGlZbIyX8BQYQIfnrUBOGZ06M4zYn3I7LXL8XmT0mNFRT6VW6zXUSzzz6bFizZUsIWtmYRqe
Monument Aux Morts, 49.914282,2.281234, http://lh5.ggpht.com/QlGwyBmiO87PYL7fdGT97-j60mVDn4w3vCF6sQUAcoN-tuP9JSUliDvdp3ybT-aIqPNWc9Fa-b2h5yfxNeo4
Borne To ST Simon, 49.910843,2.279082, http://lh5.ggpht.com/TODcFjT7_uFD_JlYZrRyR4aKCs664gfJqBUQP7XtQS2Z6RqJHZunnnTl1q7tQSqk6e2Ca3fNe4f9Tv00Mqtpdg
Sueur Manorhouse Façade, 49.912319,2.282399, http://lh5.ggpht.com/kmePn0HquMnAhw5TRhKUegASG3XYmyIAuFWuUw-HC9IyTU4cRaKa8VVCzRuFLCY-ZHfYXcoPGuQ4t0Q67bs
Madeleine Pyramid, 49.91507,2.28183, http://lh5.ggpht.com/1E2sOGazVhVS6TZtQ9ztsQgviTslIhNhpiQgIT_hUwF8ku_p91tJHv5pmK4xZ68UK3GSY90B0etL7170fFUN
Flame Sculpture, 49.914416,2.282073, http://lh6.ggpht.com/FaBOx9BX79uKrkLUfSL38LImKxRY0F8qcRDZXML8GMYiL8QfEjn6hWKuZnL5uJiSsBgDecbb5fIQpo8sf2k
Alexandre Lapostolle, 1749-1831, 49.915527,2.281641, http://lh4.ggpht.com/HY4p8GgatYerb0mk7ebx24wfkq3cXPsw6keyRGrAlA3NSfMEi-vuidXUwMmPyvGTtMtFYQe_QImTFxsHl1Nj
Morts Pour Montières, 49.917881,2.256765, http://lh3.ggpht.com/oxECAHbOBRJXgHvWFP_JmWKNCwwWl35sCsoGpQA11jaRVLCLLgxWDb2f46fPaGaGNr2hd8w81h0GaJVqxH0
Entrée Principale Du Parc de Montières, 49.91444,2.258551, http://lh4.ggpht.com/7hmrGATNpNX1Yb7POb3yCU5OfQM6RR2LkAGVqih68zHg-lfiqAKZDrRlc228fXm8_-A3Za4tX0lV_Ud4Dd2UvQ
Portail de L'église, 49.912167,2.256814, http://lh3.ggpht.com/IXucYxsKdN5mgMeqqm9PdP0MGBDAmR7deGWq-I62T89dLR5rvNKpf--iID6yeywKysPZbmNpNnWcI8umc8A
Château De Montières, 49.914769,2.25937, http://lh5.ggpht.com/q79L_P1s5-JJDiYGfj8JiUKxLop4V_POTNPHslxPED0r6ca8QrxaKFVqg6NmEMSrgnEKXFvaQoV6-GtE_MNodA
Bescoue Estoile XVI, 49.91491,2.257488, http://lh6.ggpht.com/slmCkUl-bpUrS9_z6cvBinsY6zoaU-wyObxTbD6e_Mlol_MLHeJwMIWv9t1gWG6xFJAhxzCGHzJu0cU6mV9B
Christ Noir, 49.912176,2.257205, http://lh5.ggpht.com/l4S-XppJnwHod6SaQSSUerYZl59iASjgRRiogI4FvO5BKPwbb5jCcNICTr51CwpR4hm4X7hiGTzZJkDeny4
Parc de Montières, 49.917425,2.257178, http://lh4.ggpht.com/J4XYcMOW2Oyf7BvqGvcF8mxciHMimvqCJ-NsrKcHLubZtigGSQ-ey_2tfe4UMo0otjWXSBF3XuZz3EkyYxLC
Amiens - La Poste, 49.902689,2.272937, http://lh3.googleusercontent.com/WmSseFdrR-73lg8UUhcqJIGklispH9PN5NKQ65PlOfd8Cw0pZ5mbQzntQMHcCGrJKRyfbGe1iovAiCeceHQH
Monument aux Morts, 49.903327,2.290432, http://lh3.googleusercontent.com/HH3_vqKHkls5csxZoDKtNnXN9iz5-_TPqghHIOlxuAFqwtTHkTxGdolQCft_jXvn3TMf6Lke6xUjYqJkHjjC
Saint Maurice Church, 49.90358,2.288232, http://lh6.ggpht.com/mP0ddRmoCN9gbbgZj1wg3F61zlMICndqC0heJYmTo8wENSk_0a_SrnV0ihYCmOnldQz7-sWMl4ZI_vG-c5I
Le Premier Né, Amiens, 49.907227,2.291036, http://lh5.ggpht.com/hBlVAXrkbFzw4Cd_K2BVp2zpnroANbIcat0uwrnm9sBP67TgCpG6PGBl_Q-5eMYussclmZP1-vXo8ig4tK52
Chapelle de l'Hôpital Nord,  Amiens, 49.908294,2.291922, http://lh6.ggpht.com/SL1-PG7qkHwBscluE7OXUOZupg75IUvx8uZoKRenh3me-_IYXj4xc1BiFPoJZTFyaGKUbBoPjylGAKkjlVEe
Tombeau De Jules Verne, 49.914443,2.2847, http://lh5.ggpht.com/Pce_Npy2gj2VBN7N0jjx3YdU5-nw4WrsS6htISMhuX6Rx3N7dj271cg7jINHJ4FYzVyI-_-OiGnVF7zE3cI
Jules Barni, 1818-1878, 49.914386,2.285688, http://lh6.ggpht.com/GlklQ0BN_i9IksZc_dTjoLaNAWwGDEurOWSFnMyN_ZhW8oAZPFGH3gcSqFmKe4BZ_foCCfb0fGLEVp7wcN4
Lamare Statue, 49.914134,2.284802, http://lh6.ggpht.com/55-ZAxSRcYq38SM5nIYCt-cJqvMuGQBgCaYjMrZiabz8I2ryZrJNzA74_S3_P4PxB3NbzQNZ9SDZ2K8mCCDT
Beffroi Cadran Solaire, 49.895365,2.295925, http://lh4.ggpht.com/5QOj0qApNL02rL-jXISXkTX4hG8FdJvzvVeqe_pUUwVujKIgeffnHBcRhr5HFEy2noEl3P2PvTWTCcvQkazB
À la mémoire des déportés juifs français, 49.89346,2.300319, http://lh3.googleusercontent.com/zfJM941N40jAl8-rpJN6VlYKM1xLBaWn9HcuBRLyNG4kVx6jIz-ecmhCRFTSbNTm05bSbnzH2qmqgapW_iw
Façade des Trois Maillets, 49.894503,2.300844, http://lh4.ggpht.com/ufFyS0smEhQvd7v8-lrNzPqbQ7m6xJoPLXkndmOdL9fR0jP_UdvwvQTQP4qowx3Orz2VMM7bqESO29jMpaTZ6Q
Façade Des Nouvelles Galeries, 49.892666,2.298704, http://lh5.ggpht.com/AnPrlu6vJ9rBcZ9sMXWAGoi5ek2euqDVbEhtA20x5dZaT8vADhjS7liRHnu5zzGVuseXLKLBWWDxqsDC6Dt9
Maison Du Pèlerin, 49.89518,2.300624, http://lh4.ggpht.com/o1ekIN2q7XzKHygBGJmMHolIuHmxvXhPuxOe1LPO8Aqo-KobGANDketL6rX58Fnb9NvEvh0yMGr09bJgu5HXwg
Place de l'Hôtel de Ville, 49.893421,2.295454, http://lh6.ggpht.com/cQ1rynu9Gy3EIBSesq97DZEEg2FAgoJb_qyqiZ_TNV1XzWKzaXAmCOb5PSi9zHQ-0KWX8Q0kd5zSUj3W7ErP
Beffroi, Amiens, Somme, Picard, 49.895492,2.296155, http://lh3.googleusercontent.com/I4g4WXfiTtMyuCJefFy--aQTIClNA40uPiNZGb8xMVQsH5bc9T9IVUwhiwvEwupAYL_YV2P4ygYboxsbm8g
La Poste, Amiens, 49.894712,2.296181, http://lh4.ggpht.com/9h7JQY9Nk90JR_3bxlBGA2h3K53OBTXzenZD3cP8T_LUU3NVORjQLmvVr0JwxXH2s3JO76CvEeuFRVzAwLCwbw
Kiosque Du Palais De Justice, 49.893231,2.300472, http://lh5.ggpht.com/q9THYXu0Emvi9rOCbrzE3i4pufUhqWC17rHjL0JuZoq0CrucB4BJDVUoCW8233Sav-6E3tItn5uwMTGRJr4
Marie sans Chemise, 49.894043,2.298661, http://lh6.ggpht.com/AV4rNtpTYDkvZaQRe32FkyvT16pkEE7SiqybfNVkBmgGWm9wsP114SI0_XnAK1zFUtuLCML8RqZXFDzLfWs
Le vieux puits, 49.895131,2.295894, http://lh5.ggpht.com/oVnOCzYzkGPySghcPa1aUjH1wFAYhp-SibJJhFqM23eNrDrxNwv6LxDByfCeA4NlCbyqGw0ehODnGvXVyNf6fQ
Historical Bow Window, 49.89341,2.300696, http://lh6.ggpht.com/mbwq8yEbuZ8qxgXFzYltkpqS5-HkOLHiLUCEoZ3tYs44dH_SPIO6LWHVVzFfP2kBP-gY160arYVcG1Nj2CO6
Jardin Urbain De Plantes Médicinales, 49.893657,2.301398, http://lh4.ggpht.com/xJBGR6rAq6dgsyUxwJgA4hhZuRBc9wAMsf9aVb7cFk5ZIzB-4J3WHLYKLQEFdKOhap0p29A4Pha-z7iywH23
Église Protestante Évangélique d'Amiens, 49.895502,2.296627, http://lh4.ggpht.com/gn5Uq54iQOdhBBu0vMaP4EyvTf_53UqVL--CHqZnacjVC6t-wvAHvpr1n357as274_eB1WB2zwXrx5_0-eWX
Le fou du G, 49.901453,2.298016, http://lh3.googleusercontent.com/rz-9EW1n0IG-qeZb-YcToJCP8xdI99ssLeTfdLLtDfjAjjzfAEfkb5ZoMujD9T-PZp5pI4PxZnCMtNeDl0Z3
Le Cornouiller, Jardin Des Plantes, 49.900762,2.296884, http://lh3.googleusercontent.com/Nino_E2w0hzNQliX6isOx98SaAcvIXuvC1A9tjkaMrxl3I4oBmiheK5R4tl93Zq3_AMBa17iuf875pTWTmc
Maison Du Théâtre , 49.897361,2.301363, http://lh3.googleusercontent.com/PNu6Z5VEge-mSbXIZciBmzhUFf_9bPM8VFbwHFoQI_KD7BjrLImj3lXTYfftYQV8Lli45X1VbmywpD2j7lqX
Plaques commémoratives, 49.902429,2.299018, http://lh3.googleusercontent.com/VelIBH8A_K5cYCwpR5qwxG4bKYC-QNykUo1A6TQIjyFXU9TqSu0NsjQYe2X0MzbaM0lGgqPoSZ9i1gluS_oO
My Goodness Irish Pub, 49.899209,2.300662, http://lh6.ggpht.com/K5VyKmrCwyfZUetPf7vvSaWg8NyP1eI53KMqXt8sfu24vZlC36qzqz2fsBMzfkgRfW-rAEZ1MHqc4Fp8AcQ
